AC,Meth level,Gamma mew,Gamma sigma,Num sites,Type
7,0,3.37e-09,2.41e-09,652.0973963083078,Theory
8,0,3.37e-09,2.41e-09,520.0,Data
8,0,3.37e-09,2.41e-09,527.1758686664675,Theory
9,0,3.37e-09,2.41e-09,462.0,Data
9,0,3.37e-09,2.41e-09,433.12105881272305,Theory
10,0,3.37e-09,2.41e-09,384.0,Data
10,0,3.37e-09,2.41e-09,363.22853020935656,Theory
11,0,3.37e-09,2.41e-09,297.0,Data
11,0,3.37e-09,2.41e-09,306.4925416975997,Theory
12,0,3.37e-09,2.41e-09,263.0,Data
12,0,3.37e-09,2.41e-09,261.5952076577721,Theory
13,0,3.37e-09,2.41e-09,217.0,Data
13,0,3.37e-09,2.41e-09,232.49660506825396,Theory
14,0,3.37e-09,2.41e-09,193.0,Data
14,0,3.37e-09,2.41e-09,203.98520750322518,Theory
15,0,3.37e-09,2.41e-09,198.0,Data
15,0,3.37e-09,2.41e-09,181.4047558434435,Theory
16,0,3.37e-09,2.41e-09,171.0,Data
16,0,3.37e-09,2.41e-09,163.344959290238,Theory
17,0,3.37e-09,2.41e-09,153.0,Data
17,0,3.37e-09,2.41e-09,144.8255249651008,Theory
18,0,3.37e-09,2.41e-09,107.0,Data
18,0,3.37e-09,2.41e-09,134.0306729404795,Theory
19,0,3.37e-09,2.41e-09,123.0,Data
19,0,3.37e-09,2.41e-09,121.34965084340412,Theory
20,0,3.37e-09,2.41e-09,113.0,Data
20,0,3.37e-09,2.41e-09,111.15575667174716,Theory
21,0,3.37e-09,2.41e-09,96.0,Data
21,0,3.37e-09,2.41e-09,101.83242525768883,Theory
22,0,3.37e-09,2.41e-09,90.0,Data
22,0,3.37e-09,2.41e-09,93.58630319781349,Theory
23,0,3.37e-09,2.41e-09,87.0,Data
23,0,3.37e-09,2.41e-09,87.36170502408324,Theory
24,0,3.37e-09,2.41e-09,77.0,Data
24,0,3.37e-09,2.41e-09,80.89339447948412,Theory
25,0,3.37e-09,2.41e-09,65.0,Data
25,0,3.37e-09,2.41e-09,74.6087340771409,Theory
26,0,3.37e-09,2.41e-09,85.0,Data
26,0,3.37e-09,2.41e-09,69.47383368264819,Theory
27,0,3.37e-09,2.41e-09,72.0,Data
27,0,3.37e-09,2.41e-09,65.19715043319032,Theory
28,0,3.37e-09,2.41e-09,78.0,Data
28,0,3.37e-09,2.41e-09,62.246775496824796,Theory
29,0,3.37e-09,2.41e-09,57.0,Data
29,0,3.37e-09,2.41e-09,57.000955487561086,Theory
30,0,3.37e-09,2.41e-09,50.0,Data
30,0,3.37e-09,2.41e-09,52.16778204794661,Theory
31,0,3.37e-09,2.41e-09,61.0,Data
31,0,3.37e-09,2.41e-09,50.49867997363924,Theory
32,0,3.37e-09,2.41e-09,37.0,Data
32,0,3.37e-09,2.41e-09,48.925388873975166,Theory
33,0,3.37e-09,2.41e-09,54.0,Data
33,0,3.37e-09,2.41e-09,46.163035204750805,Theory
34,0,3.37e-09,2.41e-09,53.0,Data
34,0,3.37e-09,2.41e-09,43.851302151170565,Theory
35,0,3.37e-09,2.41e-09,44.0,Data
35,0,3.37e-09,2.41e-09,39.137644055123914,Theory
36,0,3.37e-09,2.41e-09,34.0,Data
36,0,3.37e-09,2.41e-09,39.82818236090826,Theory
37,0,3.37e-09,2.41e-09,42.0,Data
37,0,3.37e-09,2.41e-09,38.389302163040334,Theory
38,0,3.37e-09,2.41e-09,45.0,Data
38,0,3.37e-09,2.41e-09,35.49995234778684,Theory
39,0,3.37e-09,2.41e-09,22.0,Data
39,0,3.37e-09,2.41e-09,33.576392215556176,Theory
40,0,3.37e-09,2.41e-09,29.0,Data
40,0,3.37e-09,2.41e-09,33.114452081135724,Theory
41,0,3.37e-09,2.41e-09,30.0,Data
41,0,3.37e-09,2.41e-09,29.596927893251195,Theory
42,0,3.37e-09,2.41e-09,26.0,Data
42,0,3.37e-09,2.41e-09,28.771263898251924,Theory
43,0,3.37e-09,2.41e-09,35.0,Data
43,0,3.37e-09,2.41e-09,28.732415559902012,Theory
44,0,3.37e-09,2.41e-09,33.0,Data
44,0,3.37e-09,2.41e-09,27.032066245949963,Theory
45,0,3.37e-09,2.41e-09,15.0,Data
45,0,3.37e-09,2.41e-09,24.643898681380286,Theory
46,0,3.37e-09,2.41e-09,21.0,Data
46,0,3.37e-09,2.41e-09,23.680155982798937,Theory
